status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls
115634898452178_1345549308794058,"Vaata, kui kõrgele, kaugele ja sügavale on inimene läinud",Kus on inimkeha piirid?,link,http://tehnika.postimees.ee/3730659/kus-on-inimkeha-piirid?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730659&utm_campaign=fb_post,2016-06-13 10:00:00,11,0,2,11,0,0,0,0,0,0
115634898452178_1345548692127453,"Teadmatuse tõttu võime igapäevastest pisitoimetustest rohkem kahju kui kasu saada, kirjutab liigume.ee. Ka hammaste pesu võib mingil ajal olla ebatervislik.",Millal kindlasti ei tasu hambaid pesta,link,http://naine24.postimees.ee/3730539/millal-kindlasti-ei-tasu-hambaid-pesta?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730539&utm_campaign=fb_post,2016-06-13 09:45:00,57,4,50,54,0,1,2,0,0,0
115634898452178_1345548205460835,,"Lugejakiri: kas on normaalne, et ennast täis roojanud ja haisvad joodikud magavad kõnniteedel?",link,http://arvamus.postimees.ee/3730663/lugejakiri-kas-on-normaalne-et-ennast-tais-roojanud-ja-haisvad-joodikud-magavad-konniteedel?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730663&utm_campaign=fb_post,2016-06-13 09:30:00,35,21,13,24,0,0,0,1,10,0
115634898452178_1345548528794136,"Tervet arbuusi ostes ei tea kunagi, mis sind ees võib oodata. Võib juhtuda, et kuigi müüja lubas, et arbuus on seemneteta, on seal siiski seemned sees või on arbuus seest nii hele, et tekib tunne, justkui said poest sootuks toore arbuusi.",Kuidas leida üles kõige magusam ja maitsvam arbuus? -,link,http://naine24.postimees.ee/3730675/kuidas-leida-ules-koige-magusam-ja-maitsvam-arbuus?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730675&utm_campaign=fb_post,2016-06-13 09:15:00,30,2,32,30,0,0,0,0,0,0
115634898452178_1345533668795622,President Toomas Hendrik Ilves jättis täna allkirjastatud otsusega rahuldamata 21 süüdimõistetud kurjategija armuandmispalved.,Ilves jättis 21 kurjategija armuandmispalved rahuldamata,link,http://www.postimees.ee/3730635/ilves-jattis-21-kurjategija-armuandmispalved-rahuldamata?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730635&utm_campaign=fb_post,2016-06-13 09:00:00,132,7,9,126,6,0,0,0,0,0
115634898452178_1345532642129058,Tänapäeval lükkavad noored lapse saamist edasi ning võtavad selle asemel hoopis koera või kassi. Kuid miks see nii on?,Miks asendavad inimesed lapse lemmikloomaga?,link,http://lemmik.postimees.ee/3730531/miks-asendavad-inimesed-lapse-lemmikloomaga?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730531&utm_campaign=fb_post,2016-06-13 08:45:00,17,13,7,17,0,0,0,0,0,0
115634898452178_1345639748785014,Postimehele teadaolevalt osutus info röövi kohta vääraks ning tegu oli vaid poissmeestepeo algusega.,Rööv Tartus osutus poissmeestepeoks,link,http://www.postimees.ee/3730765/roov-tartus-osutus-poissmeestepeoks?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730765&utm_campaign=fb_post,2016-06-13 08:44:47,156,8,22,101,2,5,47,1,0,0
115634898452178_1345532328795756,"Homme, 14. juunil on Eestis lipu- ja üleriigiline leinapäev, mille puhul heiskavad Eesti lipu leinalipuna kõik riigi- ja kohaliku omavalitsuse asutused ning avalik-õiguslikud juriidilised isikud.",Homme heisatakse küüditamisohvrite mälestuseks leinalipud,link,http://www.postimees.ee/3730605/homme-heisatakse-kuuditamisohvrite-malestuseks-leinalipud?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730605&utm_campaign=fb_post,2016-06-13 08:30:00,37,0,19,26,2,0,0,7,2,0
115634898452178_1345529475462708,"PERHi juhatuse esimehele Tõnis Allikule tõi kahtlustuse kelmuses, omastamises ja pistise võtmises iga-aastane kliendiüritus, milleks oli Oktoberfesti külastus.",Allikule tõi kahtlustuse Oktoberfesti külastus,link,http://majandus24.postimees.ee/3730557/allikule-toi-kahtlustuse-oktoberfesti-kulastus?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730557&utm_campaign=fb_post,2016-06-13 08:15:00,3,0,2,2,0,0,1,0,0,0
115634898452178_1345488865466769,"Ameerika Ühendriikide suurlinnades tuleb tihti ette, et ummikutes istumine võtab tunde, mistõttu on nüüd jõutud sammukese lähemale õhutaksode kasutusele võtule.",Las Vegases hakkavad sõitma lendavad taksod,link,http://reis.postimees.ee/3730419/las-vegases-hakkavad-soitma-lendavad-taksod?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730419&utm_campaign=fb_post,2016-06-13 07:30:00,126,4,18,107,0,17,2,0,0,0
115634898452178_1345578715457784,"Postimehe toimetusse helistas täna hommikul pealtnägija, kelle sõnul maskides mehed kellegi eile õhtul auto pagasiruumi toppisid.",Tartus võidi relvaähvardusel röövida mees,link,http://www.postimees.ee/3730765/tartus-voidi-relvaahvardusel-roovida-mees?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730765&utm_campaign=fb_post,2016-06-13 07:16:49,22,9,23,15,0,2,4,0,1,0
115634898452178_1345524125463243,"Ehted on isikupära rõhutajad ning annavad kandjale võimaluse jutustada oma lugu: avada oma isiksust, tutvustada oma stiili ja maitset, tunda end vaba, enesekindla ning kaunina.",Milliseid ehteid lõpetamisel kanda?,link,http://naine24.postimees.ee/3730471/milliseid-ehteid-lopetamisel-kanda?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730471&utm_campaign=fb_post,2016-06-13 07:15:00,0,0,1,0,0,0,0,0,0,0
